CustomerID,Recency,Frequency,Monetary,R,F,M,RFM_Score,Segments
12430,42,1,256.4,3,1,2,312,About to Sleep
12431,35,13,5713.5,3,5,5,355,Loyal Customers
12432,42,5,5059.32,3,4,5,345,Loyal Customers
12433,0,5,9588.75,5,4,5,545,Champions
12434,84,2,806.14,2,2,3,223,At Risk
12435,79,2,7829.89,2,2,5,225,Can’t Lose Them
12436,99,1,509.01,2,1,3,213,About to Sleep
12437,1,18,4951.41,5,5,5,555,Champions
12438,13,2,2906.85,4,2,5,425,Promising
12442,2,1,172.06,5,1,1,511,Recent Customers
12444,20,5,5005.46,4,4,5,445,Loyal Customers
12445,21,1,133.4,4,1,1,411,Recent Customers
12446,57,1,1002.3100000000001,3,1,4,314,Needing Attention
12447,242,1,476.49,1,1,2,112,Lost Customers
12448,43,1,449.45,3,1,2,312,About to Sleep
12449,21,4,4067.29,4,4,5,445,Loyal Customers
12450,155,2,197.88,2,2,1,221,About to Sleep
12451,10,5,9035.52,5,4,5,545,Champions
12452,16,2,430.57000000000005,4,2,2,422,Recent Customers
12453,133,1,707.09,2,1,3,213,About to Sleep
12454,55,1,3528.34,3,1,5,315,Promising
12455,72,6,2466.86,2,5,5,255,Can’t Lose Them
12456,43,3,3181.04,3,3,5,335,Loyal Customers
12457,65,7,2363.23,3,5,5,355,Loyal Customers
12458,70,2,947.4,2,2,4,224,Can’t Lose Them
12461,93,2,826.88,2,2,3,223,At Risk
12462,18,2,1189.59,4,2,4,424,Potential Loyalist
12463,52,4,1344.78,3,4,4,344,Loyal Customers
12464,9,8,1212.05,5,5,4,554,Champions
12465,16,2,742.19,4,2,3,423,Potential Loyalist
12468,187,2,729.54,1,2,3,123,Hibernating
12471,1,26,15949.69,5,5,5,555,Champions
12472,31,6,4940.81,3,5,5,355,Loyal Customers
12473,28,5,3928.05,4,4,5,445,Loyal Customers
12474,16,18,7324.09,4,5,5,455,Loyal Customers
12475,53,1,723.38,3,1,3,313,Needing Attention
12476,15,10,6803.97,4,5,5,455,Loyal Customers
12477,22,6,13219.74,4,5,5,455,Loyal Customers
12478,3,1,680.99,5,1,3,513,Promising
12479,10,1,527.2,5,1,3,513,Promising
12480,27,4,3281.63,4,4,5,445,Loyal Customers
12481,22,8,4788.48,4,5,5,455,Loyal Customers
12483,16,8,2484.98,4,5,5,455,Loyal Customers
12484,32,6,4527.32,3,5,5,355,Loyal Customers
12488,9,3,1298.66,5,3,4,534,Potential Loyalist
12489,335,1,334.93,1,1,2,112,Lost Customers
12490,4,10,5417.93,5,5,5,555,Champions
12491,38,1,460.40000000000003,3,1,2,312,About to Sleep
12492,62,2,263.21000000000004,3,2,2,322,About to Sleep
12493,165,2,433.74,1,2,2,122,Hibernating
12494,15,5,1183.55,4,4,4,444,Loyal Customers
12497,81,1,1043.1,2,1,4,214,Can’t Lose Them
12498,20,3,403.70000000000005,4,3,2,432,Recent Customers
12500,22,11,4257.82,4,5,5,455,Loyal Customers
12501,336,1,2169.39,1,1,5,115,Can’t Lose Them
12502,95,5,3723.87,2,4,5,245,Can’t Lose Them
12504,17,2,482.04999999999995,4,2,3,423,Potential Loyalist
12506,232,1,73.5,1,1,1,111,Lost Customers
12507,133,3,1304.81,2,3,4,234,Can’t Lose Them
12508,25,2,397.88,4,2,2,422,Recent Customers
12509,283,1,176.5,1,1,1,111,Lost Customers
12510,142,2,982.5699999999999,2,2,4,224,Can’t Lose Them
12512,65,2,132.18,3,2,1,321,About to Sleep
12513,112,1,612.29,2,1,3,213,About to Sleep
12514,266,1,1017.6800000000001,1,1,4,114,Can’t Lose Them
12516,77,2,1312.06,2,2,4,224,Can’t Lose Them
12517,27,5,2481.6,4,4,5,445,Loyal Customers
12518,0,5,2056.89,5,4,5,545,Champions
12519,63,1,330.84000000000003,3,1,2,312,About to Sleep
12520,78,5,2634.26,2,4,5,245,Can’t Lose Them
12521,142,1,599.68,2,1,3,213,About to Sleep
12522,38,2,192.72,3,2,1,321,About to Sleep
12523,18,11,1789.77,4,5,4,454,Loyal Customers
12524,8,8,4485.72,5,5,5,555,Champions
12526,0,3,1316.66,5,3,4,534,Potential Loyalist
12527,81,3,348.71000000000004,2,3,2,232,About to Sleep
12528,8,6,1933.48,5,5,4,554,Champions
12530,59,4,1662.28,3,4,4,344,Loyal Customers
12531,14,1,125.22,4,1,1,411,Recent Customers
12532,29,1,349.83000000000004,4,1,2,412,Recent Customers
12534,130,1,1089.18,2,1,4,214,Can’t Lose Them
12535,91,2,716.35,2,2,3,223,At Risk
12536,42,3,12601.830000000002,3,3,5,335,Loyal Customers
12538,28,1,363.95,4,1,2,412,Recent Customers
12539,21,4,5568.35,4,4,5,445,Loyal Customers
12540,19,16,12519.23,4,5,5,455,Loyal Customers
12541,29,3,981.18,4,3,4,434,Potential Loyalist
12544,35,1,372.7,3,1,2,312,About to Sleep
12545,74,2,1000.39,2,2,4,224,Can’t Lose Them
12546,46,2,1161.5,3,2,4,324,Promising
12547,197,2,207.8,1,2,1,121,Lost Customers
12548,165,1,95.19999999999999,1,1,1,111,Lost Customers
12550,78,1,964.83,2,1,4,214,Can’t Lose Them
12552,38,2,437.82,3,2,2,322,About to Sleep
12553,7,10,3692.28,5,5,5,555,Champions
12556,49,2,599.56,3,2,3,323,Needing Attention
12557,15,4,11370.960000000001,4,4,5,445,Loyal Customers
12558,7,1,269.96,5,1,2,512,Recent Customers
12559,310,2,561.71,1,2,3,123,Hibernating
12560,4,3,2134.01,5,3,5,535,Loyal Customers
12561,302,1,238.85,1,1,1,111,Lost Customers
12562,7,7,3781.7400000000002,5,5,5,555,Champions
12564,260,1,456.90000000000003,1,1,2,112,Lost Customers
12565,288,1,145.92000000000002,1,1,1,111,Lost Customers
12566,85,1,351.65,2,1,2,212,About to Sleep
12567,22,8,7458.9,4,5,5,455,Loyal Customers
12569,1,32,4124.6900000000005,5,5,5,555,Champions
12571,39,2,519.61,3,2,3,323,Needing Attention
12572,8,2,1020.4200000000001,5,2,4,524,Potential Loyalist
12573,226,1,160.54000000000002,1,1,1,111,Lost Customers
12574,315,1,218.45000000000002,1,1,1,111,Lost Customers
12576,35,5,1315.83,3,4,4,344,Loyal Customers
12577,34,2,430.71,3,2,2,322,About to Sleep
12578,20,2,2794.51,4,2,5,425,Promising
12579,77,1,440.42,2,1,2,212,About to Sleep
12580,246,1,415.7,1,1,2,112,Lost Customers
12581,39,1,197.71,3,1,1,311,About to Sleep
12582,238,2,511.36,1,2,3,123,Hibernating
12583,2,14,6425.52,5,5,5,555,Champions
12584,3,9,2338.15,5,5,5,555,Champions
12585,233,1,777.25,1,1,3,113,Hibernating
12586,16,1,196.94000000000003,4,1,1,411,Recent Customers
12587,7,1,144.0,5,1,1,511,Recent Customers
12588,38,1,214.89999999999998,3,1,1,311,About to Sleep
12589,28,2,646.68,4,2,3,423,Potential Loyalist
12590,210,2,9864.26,1,2,5,125,Can’t Lose Them
12591,316,1,452.84999999999997,1,1,2,112,Lost Customers
12592,91,2,437.6,2,2,2,222,About to Sleep
12593,108,3,418.1,2,3,2,232,About to Sleep
12594,37,10,3338.2200000000003,3,5,5,355,Loyal Customers
12596,50,2,618.27,3,2,3,323,Needing Attention
12597,18,4,3811.22,4,4,5,445,Loyal Customers
12598,9,8,3023.08,5,5,5,555,Champions
12599,28,7,1032.58,4,5,4,454,Loyal Customers
12600,28,8,2324.24,4,5,5,455,Loyal Customers
12601,189,5,577.0600000000001,1,4,3,143,At Risk
12602,58,1,153.12,3,1,1,311,About to Sleep
12603,21,1,739.1999999999999,4,1,3,413,Promising
12604,78,2,254.18,2,2,2,222,About to Sleep
12607,59,1,1579.51,3,1,4,314,Needing Attention
12609,77,3,1126.85,2,3,4,234,Can’t Lose Them
12610,22,5,2099.54,4,4,5,445,Loyal Customers
12611,51,1,1193.32,3,1,4,314,Needing Attention
12612,73,1,704.04,2,1,3,213,About to Sleep
12613,56,5,3344.38,3,4,5,345,Loyal Customers
12614,277,1,315.6,1,1,2,112,Lost Customers
12615,1,4,2291.19,5,4,5,545,Champions
12616,94,2,713.3,2,2,3,223,At Risk
12617,28,1,352.98,4,1,2,412,Recent Customers
12618,21,1,177.31,4,1,1,411,Recent Customers
12619,15,9,3641.24,4,5,5,455,Loyal Customers
12620,14,3,1339.41,4,3,4,434,Potential Loyalist
12621,1,18,12306.02,5,5,5,555,Champions
12622,231,1,180.1,1,1,1,111,Lost Customers
12623,275,1,305.1,1,1,2,112,Lost Customers
12624,105,2,641.13,2,2,3,223,At Risk
12625,211,2,2683.82,1,2,5,125,Can’t Lose Them
12626,22,9,6620.4800000000005,4,5,5,455,Loyal Customers
12627,10,7,4478.53,5,5,5,555,Champions
12628,3,3,786.46,5,3,3,533,Potential Loyalist
12630,9,2,1270.88,5,2,4,524,Potential Loyalist
12631,56,1,640.5,3,1,3,313,Needing Attention
12633,58,4,2163.98,3,4,5,345,Loyal Customers
12635,89,2,1689.18,2,2,4,224,Can’t Lose Them
12637,66,8,6002.9,3,5,5,355,Loyal Customers
12638,32,1,671.69,3,1,3,313,Needing Attention
12639,238,1,486.1,1,1,3,113,Hibernating
12640,23,3,1174.58,4,3,4,434,Potential Loyalist
12641,114,1,185.9,2,1,1,211,Hibernating
12642,24,3,1013.26,4,3,4,434,Potential Loyalist
12643,127,6,3344.64,2,5,5,255,Can’t Lose Them
12644,129,1,477.90999999999997,2,1,2,212,About to Sleep
12645,33,4,1775.18,3,4,4,344,Loyal Customers
12646,4,2,1346.97,5,2,4,524,Potential Loyalist
12647,21,8,2529.22,4,5,5,455,Loyal Customers
12648,154,1,318.05,2,1,2,212,About to Sleep
12649,106,3,623.51,2,3,3,233,Needing Attention
12650,2,1,314.44,5,1,2,512,Recent Customers
12651,334,1,114.0,1,1,1,111,Lost Customers
12652,330,1,919.98,1,1,4,114,Can’t Lose Them
12653,148,2,2209.85,2,2,5,225,Can’t Lose Them
12654,10,5,601.98,5,4,3,543,Potential Loyalist
12656,16,5,4051.17,4,4,5,445,Loyal Customers
12657,10,4,1643.18,5,4,4,544,Loyal Customers
12658,18,1,686.05,4,1,3,413,Promising
12659,29,1,91.68,4,1,1,411,Recent Customers
12660,10,1,245.10000000000002,5,1,2,512,Recent Customers
12662,0,10,3588.3,5,5,5,555,Champions
12664,7,9,4881.88,5,5,5,555,Champions
12665,324,1,63.0,1,1,1,111,Lost Customers
12667,57,1,620.13,3,1,3,313,Needing Attention
12668,11,3,3337.28,5,3,5,535,Loyal Customers
12669,150,3,2744.0299999999997,2,3,5,235,Can’t Lose Them
12670,9,5,2996.05,5,4,5,545,Champions
12672,329,1,225.9,1,1,1,111,Lost Customers
12673,4,2,610.52,5,2,3,523,Potential Loyalist
12674,38,4,1970.6,3,4,4,344,Loyal Customers
12676,24,6,1331.39,4,5,4,454,Loyal Customers
12678,41,10,17407.18,3,5,5,355,Loyal Customers
12679,58,4,1113.02,3,4,4,344,Loyal Customers
12680,0,4,862.81,5,4,3,543,Potential Loyalist
12681,14,20,11669.43,4,5,5,455,Loyal Customers
12682,3,29,11204.53,5,5,5,555,Champions
12683,3,13,7413.49,5,5,5,555,Champions
12684,7,7,2283.63,5,5,5,555,Champions
12685,27,6,2863.08,4,5,5,455,Loyal Customers
12688,113,1,4863.81,2,1,5,215,Can’t Lose Them
12689,25,2,1247.6100000000001,4,2,4,424,Potential Loyalist
12690,205,1,389.01,1,1,2,112,Lost Customers
12691,27,5,855.8,4,4,3,443,Potential Loyalist
12693,126,4,855.91,2,4,3,243,Needing Attention
12694,69,2,869.67,2,2,3,223,At Risk
12695,6,4,582.1,5,4,3,543,Potential Loyalist
12697,28,3,957.59,4,3,4,434,Potential Loyalist
12700,7,4,4939.99,5,4,5,545,Champions
12701,79,2,797.71,2,2,3,223,At Risk
12702,19,1,219.0,4,1,1,411,Recent Customers
12703,70,1,283.55,2,1,2,212,About to Sleep
12704,6,8,2340.84,5,5,5,555,Champions
12705,14,8,6010.29,4,5,5,455,Loyal Customers
12707,291,1,603.42,1,1,3,113,Hibernating
12708,29,9,2516.4700000000003,4,5,5,455,Loyal Customers
12709,14,13,8390.83,4,5,5,455,Loyal Customers
12710,96,3,1149.02,2,3,4,234,Can’t Lose Them
12712,28,11,3925.5,4,5,5,455,Loyal Customers
12713,0,1,848.55,5,1,3,513,Promising
12714,8,5,4708.86,5,4,5,545,Champions
12715,105,1,343.36,2,1,2,212,About to Sleep
12716,3,2,1053.49,5,2,4,524,Potential Loyalist
12717,150,2,1030.98,2,2,4,224,Can’t Lose Them
12718,70,1,238.25,2,1,1,211,Hibernating
12719,4,2,644.95,5,2,3,523,Potential Loyalist
12720,2,23,5124.6,5,5,5,555,Champions
12721,31,5,2369.53,3,4,5,345,Loyal Customers
12722,84,4,997.63,2,4,4,244,Can’t Lose Them
12723,3,5,725.07,5,4,3,543,Potential Loyalist
12724,4,4,1031.41,5,4,4,544,Loyal Customers
12726,27,6,2438.82,4,5,5,455,Loyal Customers
12727,10,7,3980.7000000000003,5,5,5,555,Champions
12728,70,4,836.33,2,4,3,243,Needing Attention
12729,113,1,453.01,2,1,2,212,About to Sleep
12731,23,11,17824.01,4,5,5,455,Loyal Customers
12732,179,1,236.26000000000002,1,1,1,111,Lost Customers
12733,233,1,383.95,1,1,2,112,Lost Customers
12735,314,2,779.5699999999999,1,2,3,123,Hibernating
12736,332,1,234.0,1,1,1,111,Lost Customers
12739,77,2,1013.04,2,2,4,224,Can’t Lose Them
12740,63,1,427.6,3,1,2,312,About to Sleep
12743,133,2,540.13,2,2,3,223,At Risk
12744,51,7,21279.29,3,5,5,355,Loyal Customers
12747,1,9,3489.7400000000002,5,5,5,555,Champions
12748,0,174,28868.19,5,5,5,555,Champions
12749,3,5,4090.88,5,4,5,545,Champions
12750,128,1,275.88,2,1,2,212,About to Sleep
12752,80,1,4366.78,2,1,5,215,Can’t Lose Them
12753,22,5,17838.8,4,4,5,445,Loyal Customers
12754,235,3,3010.74,1,3,5,135,Can’t Lose Them
12755,280,1,17.549999999999997,1,1,1,111,Lost Customers
12756,86,1,112.08,2,1,1,211,Hibernating
12757,15,13,7834.650000000001,4,5,5,455,Loyal Customers
12758,116,2,2791.59,2,2,5,225,Can’t Lose Them
12759,51,3,1531.44,3,3,4,334,Promising
12762,7,2,1898.52,5,2,4,524,Potential Loyalist
12763,137,1,174.0,2,1,1,211,Hibernating
12764,316,1,1693.88,1,1,4,114,Can’t Lose Them
12766,3,6,5840.34,5,5,5,555,Champions
12769,238,1,1143.6,1,1,4,114,Can’t Lose Them
12770,210,1,1351.45,1,1,4,114,Can’t Lose Them
12772,59,1,892.47,3,1,3,313,Needing Attention
12775,16,5,1386.04,4,4,4,444,Loyal Customers
12778,19,6,822.23,4,5,3,453,Potential Loyalist
12779,37,7,3733.2,3,5,5,355,Loyal Customers
12781,63,2,826.74,3,2,3,323,Needing Attention
12782,4,4,1867.42,5,4,4,544,Loyal Customers
12783,1,6,2225.91,5,5,5,555,Champions
12784,8,2,532.82,5,2,3,523,Potential Loyalist
12787,9,3,463.66,5,3,2,532,Recent Customers
12789,64,1,91.85,3,1,1,311,About to Sleep
12790,191,1,324.92,1,1,2,112,Lost Customers
12792,256,1,400.54,1,1,2,112,Lost Customers
12793,334,1,413.68,1,1,2,112,Lost Customers
12794,52,2,860.41,3,2,3,323,Needing Attention
12795,18,1,430.48,4,1,2,412,Recent Customers
12798,9,3,6977.04,5,3,5,535,Loyal Customers
12802,186,1,427.58,1,1,2,112,Lost Customers
12808,36,2,354.25,3,2,2,322,About to Sleep
12809,177,1,489.31,1,1,3,113,Hibernating
12811,260,3,514.85,1,3,3,133,At Risk
12812,44,1,229.64000000000001,3,1,1,311,About to Sleep
12814,101,1,125.92,2,1,1,211,Hibernating
12815,147,2,1063.46,2,2,4,224,Can’t Lose Them
12816,95,2,572.2,2,2,3,223,At Risk
12817,280,1,166.04000000000002,1,1,1,111,Lost Customers
12818,261,1,1542.08,1,1,4,114,Can’t Lose Them
12820,2,4,942.34,5,4,4,544,Loyal Customers
12821,213,1,92.72,1,1,1,111,Lost Customers
12822,70,2,948.88,2,2,4,224,Can’t Lose Them
12823,74,5,1759.5,2,4,4,244,Can’t Lose Them
12824,59,1,397.12,3,1,2,312,About to Sleep
12826,2,6,1319.72,5,5,4,554,Champions
12827,5,3,430.15,5,3,2,532,Recent Customers
12828,2,6,1018.71,5,5,4,554,Champions
12829,336,1,207.25,1,1,1,111,Lost Customers
12830,37,6,6814.64,3,5,5,355,Loyal Customers
12831,261,1,215.05,1,1,1,111,Lost Customers
12832,31,2,383.03000000000003,3,2,2,322,About to Sleep
12833,144,1,417.38,2,1,2,212,About to Sleep
12834,282,1,312.38,1,1,2,112,Lost Customers
12836,58,4,2610.36,3,4,5,345,Loyal Customers
12837,172,1,134.1,1,1,1,111,Lost Customers
12838,33,1,281.16,3,1,2,312,About to Sleep
12839,2,12,4853.97,5,5,5,555,Champions
12840,143,4,2726.77,2,4,5,245,Can’t Lose Them
12841,4,23,3485.59,5,5,5,555,Champions
12842,69,2,1118.99,2,2,4,224,Can’t Lose Them
12843,65,8,1702.26,3,5,4,354,Loyal Customers
12844,28,2,325.96000000000004,4,2,2,422,Recent Customers
12845,266,4,354.09000000000003,1,4,2,142,At Risk
12847,21,1,843.64,4,1,3,413,Promising
12849,30,2,1010.29,4,2,4,424,Potential Loyalist
12851,96,1,131.81,2,1,1,211,Hibernating
12852,294,1,311.55,1,1,2,112,Lost Customers
12853,134,6,1957.1000000000001,2,5,4,254,Can’t Lose Them
12854,78,3,1316.25,2,3,4,234,Can’t Lose Them
12856,7,6,2170.78,5,5,5,555,Champions
12857,210,2,1106.4,1,2,4,124,Can’t Lose Them
12863,51,1,521.2,3,1,3,313,Needing Attention
12864,137,1,147.12,2,1,1,211,Hibernating
12865,25,2,1568.23,4,2,4,424,Potential Loyalist
12866,282,1,559.12,1,1,3,113,Hibernating
12867,25,6,3646.55,4,5,5,455,Loyal Customers
12868,185,5,1403.76,1,4,4,144,Can’t Lose Them
12871,83,2,380.64,2,2,2,222,About to Sleep
12872,326,1,221.44,1,1,1,111,Lost Customers
12873,281,1,374.0,1,1,2,112,Lost Customers
12875,142,1,49.470000000000006,2,1,1,211,Hibernating
12876,57,2,2218.02,3,2,5,325,Promising
12877,3,11,1385.71,5,5,4,554,Champions
12878,235,2,854.99,1,2,3,123,Hibernating
12879,44,3,573.22,3,3,3,333,Others
12881,275,1,298.0,1,1,2,112,Lost Customers
12882,8,2,1463.04,5,2,4,524,Potential Loyalist
12883,24,4,703.47,4,4,3,443,Potential Loyalist
12884,87,1,309.05,2,1,2,212,About to Sleep
12885,62,3,1175.22,3,3,4,334,Promising
12886,67,2,1378.4,2,2,4,224,Can’t Lose Them
12888,213,2,354.12,1,2,2,122,Hibernating
12890,23,1,376.71999999999997,4,1,2,412,Recent Customers
12891,185,3,331.0,1,3,2,132,Hibernating
12893,30,1,176.55,4,1,1,411,Recent Customers
12895,41,2,372.8,3,2,2,322,About to Sleep
12897,204,2,216.5,1,2,1,121,Lost Customers
12901,8,28,17654.54,5,5,5,555,Champions
12902,264,1,138.68,1,1,1,111,Lost Customers
12904,17,2,496.06,4,2,3,423,Potential Loyalist
12906,11,5,2919.81,5,4,5,545,Champions
12908,175,2,750.0,1,2,3,123,Hibernating
12909,39,5,2178.67,3,4,5,345,Loyal Customers
12910,22,8,3075.04,4,5,5,455,Loyal Customers
12912,2,5,1662.3,5,4,4,544,Loyal Customers
12913,4,4,2066.01,5,4,5,545,Champions
12915,148,1,164.0,2,1,1,211,Hibernating
12916,138,4,2944.95,2,4,5,245,Can’t Lose Them
12917,127,1,594.0,2,1,3,213,About to Sleep
12919,7,6,1335.19,5,5,4,554,Champions
12920,16,1,162.78,4,1,1,411,Recent Customers
12921,8,35,15899.29,5,5,5,555,Champions
12922,160,1,405.38,2,1,2,212,About to Sleep
12923,63,1,172.82,3,1,1,311,About to Sleep
12924,87,4,933.7,2,4,4,244,Can’t Lose Them
12925,4,2,694.05,5,2,3,523,Potential Loyalist
12928,34,4,1670.3600000000001,3,4,4,344,Loyal Customers
12929,311,1,117.85,1,1,1,111,Lost Customers
12930,77,2,415.8,2,2,2,222,About to Sleep
12931,21,13,41878.96,4,5,5,455,Loyal Customers
12933,23,3,607.53,4,3,3,433,Potential Loyalist
12935,1,7,2160.7,5,5,5,555,Champions
12936,16,4,1063.9,4,4,4,444,Loyal Customers
12937,14,4,1504.27,4,4,4,444,Loyal Customers
12938,25,1,114.14,4,1,1,411,Recent Customers
12939,63,8,11581.8,3,5,5,355,Loyal Customers
12940,54,2,899.69,3,2,3,323,Needing Attention
12942,130,2,416.85,2,2,2,222,About to Sleep
12944,35,1,317.56,3,1,2,312,About to Sleep
12945,287,1,462.95,1,1,2,112,Lost Customers
12947,143,5,1299.95,2,4,4,244,Can’t Lose Them
12948,15,7,2064.95,4,5,5,455,Loyal Customers
12949,30,8,4167.22,4,5,5,455,Loyal Customers
12950,1,3,1843.0,5,3,4,534,Potential Loyalist
12951,8,6,1064.07,5,5,4,554,Champions
12952,5,4,1387.79,5,4,4,544,Loyal Customers
12953,9,1,329.85,5,1,2,512,Recent Customers
12955,0,11,4757.16,5,5,5,555,Champions
12956,305,1,108.07,1,1,1,111,Lost Customers
12957,9,8,4017.54,5,5,5,555,Champions
12962,6,2,266.39,5,2,2,522,Recent Customers
12963,7,7,1490.83,5,5,4,554,Champions
12965,88,1,769.8100000000001,2,1,3,213,About to Sleep
12966,9,1,160.18,5,1,1,511,Recent Customers
12968,111,1,135.95,2,1,1,211,Hibernating
12970,6,4,405.47,5,4,2,542,Recent Customers
12971,3,81,10753.72,5,5,5,555,Champions
12974,197,1,144.8,1,1,1,111,Lost Customers
12976,211,1,738.6,1,1,3,113,Hibernating
12977,155,1,39.239999999999995,2,1,1,211,Hibernating
12980,157,8,6485.58,2,5,5,255,Can’t Lose Them
12981,29,2,372.21999999999997,4,2,2,422,Recent Customers
12982,242,1,390.54,1,1,2,112,Lost Customers
12984,18,1,97.5,4,1,1,411,Recent Customers
12985,0,2,1239.38,5,2,4,524,Potential Loyalist
12987,73,2,558.7,2,2,3,223,At Risk
12988,291,1,505.82,1,1,3,113,Hibernating
12989,2,14,6721.61,5,5,5,555,Champions
12990,30,3,409.5,4,3,2,432,Recent Customers
12991,22,2,503.76,4,2,3,423,Potential Loyalist
12993,22,4,414.76,4,4,2,442,Recent Customers
12994,3,3,974.42,5,3,4,534,Potential Loyalist
12995,84,1,211.32,2,1,1,211,Hibernating
12997,21,4,1226.89,4,4,4,444,Loyal Customers
12999,195,3,455.88,1,3,2,132,Hibernating
13000,106,2,333.1,2,2,2,222,About to Sleep
13001,3,13,9785.970000000001,5,5,5,555,Champions
13002,317,1,120.95,1,1,1,111,Lost Customers
13003,105,3,149.05,2,3,1,231,Hibernating
13004,11,17,5298.9,5,5,5,555,Champions
13005,173,2,513.7,1,2,3,123,Hibernating
13006,55,1,81.57,3,1,1,311,About to Sleep
13008,322,1,229.47,1,1,1,111,Lost Customers
13012,8,8,1646.8400000000001,5,5,4,554,Champions
13013,0,11,3282.6,5,5,5,555,Champions
13014,10,10,3466.28,5,5,5,555,Champions
13015,52,5,3339.64,3,4,5,345,Loyal Customers
13016,72,3,789.89,2,3,3,233,Needing Attention
13017,6,1,204.0,5,1,1,511,Recent Customers
13018,15,28,7277.7,4,5,5,455,Loyal Customers
13021,3,8,2459.03,5,5,5,555,Champions
13023,63,2,689.9,3,2,3,323,Needing Attention
13026,0,5,975.36,5,4,4,544,Loyal Customers
13027,113,5,5472.0,2,4,5,245,Can’t Lose Them
13028,22,2,661.3199999999999,4,2,3,423,Potential Loyalist
13029,30,2,865.0,4,2,3,423,Potential Loyalist
13030,10,1,350.08,5,1,2,512,Recent Customers
13032,51,2,1010.1800000000001,3,2,4,324,Promising
13034,54,1,476.91,3,1,2,312,About to Sleep
13035,73,2,921.88,2,2,4,224,Can’t Lose Them
13037,137,3,881.07,2,3,3,233,Needing Attention
